dataID,featureName,spo2Rmse,spo2Corr,spo2StdRatio,lowRecall,rSpO2Corr,rTrackingCorr,rSnr,rSnrDb,reliableRatio,meanBeatCount,meanBeatValidRatio,baseTimeOffset,spo2TimeOffset,prTimeOffset,totalSpo2Offset,windowCount
1001,currentSpO2,3.17722773906027,0.212013156300182,1.06478594850786,0.44,-0.123711761465858,0.123711761465858,0.124669447857092,-18.0847992789106,0.996729072519905,NaN,NaN,0,850,-200,850,23252
1001,beat30Raw,3.29403837291757,0.230450257189733,1.07890111323222,0.44,-0.230450257189733,0.230450257189733,0.236824602901961,-12.5114636445962,1,29.8832236134418,1,0,550,-200,550,23252
1001,beat30Fixed,3.29181975953442,0.232103508610116,1.0793467425773,0.44,-0.232103508610116,0.232103508610116,0.23861995901546,-12.4458646644658,0.984294995912396,29.8832236134418,1,0,550,-200,550,23252
1001,beat30Smoothed,3.28996172467551,0.238084438138569,1.07772799175972,0.44,-0.23808443813857,0.23808443813857,0.245133380977064,-12.2119508955606,0.984294995912396,29.8832236134418,1,0,550,-200,550,23252
1002,currentSpO2,1.34072058511513,0.47270336883159,0.760467465060374,0.902285525008281,-0.262378520810087,0.262378520810087,0.271904693199581,-11.3116659245214,0.998355838522354,NaN,NaN,-1500,-500,-1550,-2000,28596
1002,beat30Raw,1.42477866574945,0.445244301171081,0.82314025373565,0.901623053991388,-0.444743070215708,0.444743070215708,0.496554458959263,-6.08066227757171,0.997830347144457,29.122305431131,1,-1500,-1000,-1550,-2500,28596
1002,beat30Fixed,1.40889426747531,0.449530053962819,0.791417916993762,0.898973169923816,-0.449530053962817,0.449530053962817,0.503243661888864,-5.96443372268683,0.956256998880179,29.122305431131,1,-1500,-1000,-1550,-2500,28596
1002,beat30Smoothed,1.3868041886544,0.469922018655184,0.787900226249412,0.919509771447499,-0.469922018655187,0.469922018655187,0.532364104438643,-5.47582470518603,0.956256998880179,29.122305431131,1,-1500,-1000,-1550,-2500,28596
1003,currentSpO2,1.57169448248764,0.146348730039532,0.448317856023275,0.909769144144144,0.0458136144719443,-0.0458136144719443,0.0466226716556263,-26.6280568676812,0.994824474786339,NaN,NaN,-1500,-450,-1750,-1950,29378
1003,beat30Raw,1.57657179115952,0.159326343656027,0.509788068988028,0.883445945945946,-0.15747929305782,0.15747929305782,0.159469102350784,-15.946469008052,0.999659400544959,29.9721049046322,1,-1500,-900,-1750,-2400,29378
1003,beat30Fixed,1.58385588118529,0.137341126487963,0.490008668071606,0.88231981981982,-0.137341126487964,0.137341126487964,0.13865504829417,-17.1612862712517,0.950613079019074,29.9721049046322,1,-1500,-900,-1750,-2400,29378
1003,beat30Smoothed,1.56465241841419,0.165290950123292,0.486027680655922,0.911036036036036,-0.165290950123294,0.165290950123294,0.167596262046362,-15.5147134361604,0.950613079019074,29.9721049046322,1,-1500,-900,-1750,-2400,29378
1004,currentSpO2,4.05341711297245,0.249194041719798,1.07061156374679,NaN,-0.0741939944560298,0.0741939944560298,0.0743990510858595,-22.5686520715564,0.998056946416561,NaN,NaN,0,850,-250,850,13398
