dataID,featureName,spo2Rmse,spo2Corr,spo2StdRatio,lowRecall,rSpO2Corr,rTrackingCorr,rSnr,rSnrDb,reliableRatio,meanBeatCount,meanBeatValidRatio,baseTimeOffset,spo2TimeOffset,prTimeOffset,totalSpo2Offset,windowCount
1001,currentSpO2,3.17722773906027,0.212013156300182,1.06478594850786,0.44,-0.123711761465858,0.123711761465858,0.124669447857092,-18.0847992789106,0.996729072519905,NaN,NaN,0,850,-200,850,23252
1001,beat30Raw,2.20620771524211,0.258953835333328,0.51756053425791,0.35,-0.230450257189733,0.230450257189733,0.236824602901961,-12.5114636445962,1,29.8832236134418,1,0,550,-200,550,23252
1001,beat30Fixed,2.20517981491474,0.260218197405961,0.517602833108591,0.35,-0.232103508610116,0.232103508610116,0.23861995901546,-12.4458646644658,0.984294995912396,29.8832236134418,1,0,550,-200,550,23252
1001,beat30Smoothed,2.2037593029647,0.266491903332573,0.516980035138383,0.385,-0.23808443813857,0.23808443813857,0.245133380977064,-12.2119508955606,0.984294995912396,29.8832236134418,1,0,550,-200,550,23252
1002,currentSpO2,1.34072058511513,0.47270336883159,0.760467465060374,0.902285525008281,-0.262378520810087,0.262378520810087,0.271904693199581,-11.3116659245214,0.998355838522354,NaN,NaN,-1500,-500,-1550,-2000,28596
1002,beat30Raw,1.25334089325245,0.410905751467868,0.410584045115424,0.468035773434912,-0.444743070215708,0.444743070215708,0.496554458959263,-6.08066227757171,0.997830347144457,29.122305431131,1,-1500,-1000,-1550,-2500,28596
1002,beat30Fixed,1.23805616266828,0.440944220817028,0.354701665740877,0.465054653858894,-0.449530053962817,0.449530053962817,0.503243661888864,-5.96443372268683,0.956256998880179,29.122305431131,1,-1500,-1000,-1550,-2500,28596
1002,beat30Smoothed,1.22938284818308,0.459033283561666,0.352173180709398,0.494203378602186,-0.469922018655187,0.469922018655187,0.532364104438643,-5.47582470518603,0.956256998880179,29.122305431131,1,-1500,-1000,-1550,-2500,28596
1003,currentSpO2,1.57169448248764,0.146348730039532,0.448317856023275,0.909769144144144,0.0458136144719443,-0.0458136144719443,0.0466226716556263,-26.6280568676812,0.994824474786339,NaN,NaN,-1500,-450,-1750,-1950,29378
1003,beat30Raw,1.88151759991827,0.116740313595594,0.231580322614928,0.195664414414414,-0.15747929305782,0.15747929305782,0.159469102350784,-15.946469008052,0.999659400544959,29.9721049046322,1,-1500,-900,-1750,-2400,29378
1003,beat30Fixed,1.88864719969907,0.0860583862626964,0.211077187603757,0.180884009009009,-0.137341126487964,0.137341126487964,0.13865504829417,-17.1612862712517,0.950613079019074,29.9721049046322,1,-1500,-900,-1750,-2400,29378
1003,beat30Smoothed,1.88384124050486,0.108995677055889,0.20840936162837,0.186936936936937,-0.165290950123294,0.165290950123294,0.167596262046362,-15.5147134361604,0.950613079019074,29.9721049046322,1,-1500,-900,-1750,-2400,29378
1004,currentSpO2,4.05341711297245,0.249194041719798,1.07061156374679,NaN,-0.0741939944560298,0.0741939944560298,0.0743990510858595,-22.5686520715564,0.998056946416561,NaN,NaN,0,850,-250,850,13398
1004,beat30Raw,2.7652169689099,0.165464797883095,0.830297519838709,NaN,-0.168310121962793,0.168310121962793,0.170745967998597,-15.3529908594159,0.999925311823138,33.4163865860034,1,0,450,-250,450,13398
1004,beat30Fixed,2.76591304636135,0.168926332792085,0.824945768124565,NaN,-0.171805455081836,0.171805455081836,0.174398605792265,-15.1691398260445,0.956307416535962,33.4163865860034,1,0,450,-250,450,13398
1004,beat30Smoothed,2.76448449969348,0.181234376815211,0.821099591129278,NaN,-0.185289373006245,0.185289373006245,0.188554380232716,-14.4912674843343,0.956307416535962,33.4163865860034,1,0,450,-250,450,13398
1005,currentSpO2,1.1136870717231,0.429850859953792,0.44447997085708,0.73164861612515,-0.0741911128413414,0.0741911128413414,0.0739195232441884,-22.6248168566156,0.994465081723626,NaN,NaN,-1500,-750,-1850,-2250,26935
1005,beat30Raw,1.10771688880104,0.364081246127836,0.21282114629777,0.222021660649819,-0.399167931488347,0.399167931488347,0.435355634838674,-7.22311660127995,0.999591245215711,30.9804912489317,1,-1500,-1200,-1850,-2700,26935
1005,beat30Fixed,1.10865335366783,0.407257988646559,0.168308588615544,0.179903730445247,-0.402046231025831,0.402046231025831,0.439097560430151,-7.14877951546937,0.941696703950058,30.9804912489317,1,-1500,-1200,-1850,-2700,26935
1005,beat30Smoothed,1.101797375539,0.446455021544451,0.164720898549442,0.18531889290012,-0.439949410574018,0.439949410574018,0.489909085531158,-6.19769012659257,0.941696703950058,30.9804912489317,1,-1500,-1200,-1850,-2700,26935
1006,currentSpO2,2.82127074612406,0.485870476696728,0.987127806575341,1,-0.174377527965133,0.174377527965133,0.187149935931661,-14.5562063444917,0.996199220099709,NaN,NaN,-1500,-800,-1950,-2300,20275
1006,beat30Raw,1.94926286946581,0.295197737389002,0.5947016701605,1,-0.436793045386531,0.436793045386531,0.485561899684296,-6.27510796279249,0.997876648066762,33.2662584563725,1,-1500,-1200,-1950,-2700,20275
1006,beat30Fixed,1.94076080720883,0.383975386413181,0.468513888120923,1,-0.435220280397764,0.435220280397764,0.483404063106175,-6.31379407165072,0.994074366697941,33.2662584563725,1,-1500,-1200,-1950,-2700,20275
1006,beat30Smoothed,1.93625963273376,0.410427459940211,0.46569240419196,1,-0.461561092739912,0.461561092739912,0.520298398418275,-5.67495021893016,0.994074366697941,33.2662584563725,1,-1500,-1200,-1950,-2700,20275
1007,currentSpO2,4.05232383450447,0.079249063821126,1.45082073670113,0.96875,-0.0246641104582939,0.0246641104582939,0.0267733645449307,-31.4459409726149,0.992924650105872,NaN,NaN,-1500,-850,-1700,-2350,19380
1007,beat30Raw,2.71513134275874,0.0193755702928628,0.974578930194117,0.6875,-0.0808629249697812,0.0808629249697812,0.0811286023507487,-21.8165201159874,0.995918156453446,30.6357342151493,0.999947806224078,-1500,-1300,-1700,-2800,19380
1007,beat30Fixed,2.70549598603852,0.0647641386840061,0.890051551407254,0.6875,-0.0807960376420967,0.0807960376420967,0.0810610541256047,-21.8237550590228,0.967241913816265,30.6357342151493,0.999947806224078,-1500,-1300,-1700,-2800,19380
1007,beat30Smoothed,2.70405957644416,0.0677582568607513,0.889997979459691,0.713541666666667,-0.0857838547861772,0.0857838547861772,0.0861012436887449,-21.2998115067554,0.967241913816265,30.6357342151493,0.999947806224078,-1500,-1300,-1700,-2800,19380
1008,currentSpO2,2.59781747644952,0.594692778208232,1.4092108768192,1,-0.31047203541093,0.31047203541093,0.344360323039138,-9.25973786897992,0.998535575417866,NaN,NaN,-1500,-450,-1550,-1950,19812
1008,beat30Raw,1.78877224107245,0.532671427056154,0.654136258551961,1,-0.569228781709667,0.569228781709667,0.692341523291764,-3.19359241455167,0.99949479640295,32.9423057492169,1,-1500,-900,-1550,-2400,19812
1008,beat30Fixed,1.78664050478285,0.556796953771237,0.625182104519459,1,-0.569033227775092,0.569033227775092,0.691989752401931,-3.19800673827083,0.995049004748914,32.9423057492169,1,-1500,-900,-1550,-2400,19812
1008,beat30Smoothed,1.78308857784046,0.576158061283796,0.623930410779376,1,-0.59048109683574,0.59048109683574,0.73165234091714,-2.71390467084532,0.995049004748914,32.9423057492169,1,-1500,-900,-1550,-2400,19812
1009,currentSpO2,2.83669667003818,0.559409087523039,0.573424985816257,0.143587477909619,-0.269173166945384,0.269173166945384,0.295824006212424,-10.5793317154675,0.998268433133331,NaN,NaN,-1500,-300,-1650,-1800,24839
1009,beat30Raw,2.80176342573014,0.473991936233616,0.216230619206137,0.0217240290495737,-0.530548205977342,0.530548205977342,0.625901283985777,-4.06988315051689,0.999476313245247,27.46169029971,0.999950786872919,-1500,-750,-1650,-2250,24839
1009,beat30Fixed,2.79550478647779,0.525899627427507,0.198125492192412,0.0217240290495737,-0.530391069038229,0.530391069038229,0.62564332794929,-4.07346365044436,0.995931356751531,27.46169029971,0.999950786872919,-1500,-750,-1650,-2250,24839
1009,beat30Smoothed,2.79239917174108,0.551430065358884,0.197277003053137,0.0212188190716767,-0.556843776592893,0.556843776592893,0.670397562331792,-3.47335147072315,0.995931356751531,27.46169029971,0.999950786872919,-1500,-750,-1650,-2250,24839
1010,currentSpO2,1.5727489386789,0.877530882105061,0.973701042456623,0.902373788030759,-0.0104171473009404,0.0104171473009404,0.0104024989487095,-39.6572463885079,0.997711561382598,NaN,NaN,-1500,-350,-1550,-1850,20982
1010,beat30Raw,2.06115407610554,0.744566935969018,0.527361897146693,0.680708793045804,-0.728470488045737,0.728470488045737,1.06334075203808,0.53344916658661,0.999332284065436,31.1137024848572,0.999953171419912,-1500,-750,-1550,-2250,20982
1010,beat30Fixed,2.07345716981439,0.745328885338195,0.511915959116538,0.676696756937479,-0.725831893250107,0.725831893250107,1.05518433592265,0.466566710795567,0.820956741546239,31.1137024848572,0.999953171419912,-1500,-750,-1550,-2250,20982
1010,beat30Smoothed,1.78426533828485,0.886576296257146,0.509726764129246,0.800066867268472,-0.877075849876423,0.877075849876423,1.82590271629227,5.22955269394416,0.820956741546239,31.1137024848572,0.999953171419912,-1500,-750,-1550,-2250,20982
