dataID,featureName,spo2Rmse,spo2Corr,spo2StdRatio,lowRecall,rSpO2Corr,rTrackingCorr,rSnr,rSnrDb,reliableRatio,meanBeatCount,meanBeatValidRatio,baseTimeOffset,spo2TimeOffset,prTimeOffset,totalSpo2Offset,windowCount
1023,currentSpO2,1.20153729952584,0.846367587170089,1.00663268179157,0.935104752171691,0.00447859889601957,-0.00447859889601957,0.00167794260414889,-55.5044579753638,0.953568089747585,NaN,NaN,-1500,-250,-1400,-1750,22468
1023,beat30Raw,2.0087535791847,0.590837667994068,0.996985622326311,0.754726622381196,-0.645131688656955,0.645131688656955,0.844334297371999,-1.46971138125658,0.986015854636145,31.9299011312016,0.999911348271945,-1500,-700,-1400,-2200,22468
1023,beat30Fixed,1.57491393196186,0.704063792738005,0.726465110385865,0.747572815533981,-0.692417809109345,0.692417809109345,0.959696350064861,-0.357323138200002,0.798343279593836,31.9299011312016,0.999911348271945,-1500,-700,-1400,-2200,22468
1023,beat30Smoothed,1.22372445814916,0.850923628924247,0.714489290138604,0.945324476239142,-0.838712640913505,0.838712640913505,1.5401254318043,3.7511218468869,0.798343279593836,31.9299011312016,0.999911348271945,-1500,-700,-1400,-2200,22468
1024,currentSpO2,2.65663737145267,0.282704560579339,0.96138452721391,0.151123010560762,-0.0937282566739018,0.0937282566739018,0.0941426899909251,-20.5242679303346,0.999920499264618,NaN,NaN,-1500,-500,-1800,-2000,25167
1024,beat30Raw,2.23630789106146,0.261659293439483,0.694962559004609,0.149635579354455,-0.265966727319469,0.265966727319469,0.275904186547736,-11.1848341904319,0.999483060283124,28.7915540003181,1,-1500,-950,-1800,-2450,25167
1024,beat30Fixed,2.23275163054647,0.261742497127278,0.690181534329025,0.149635579354455,-0.266517308368967,0.266517308368967,0.276518962604009,-11.1655016219486,0.993160489899793,28.7915540003181,1,-1500,-950,-1800,-2450,25167
1024,beat30Smoothed,2.21525483978302,0.290246830438957,0.689461247023319,0.151123010560762,-0.296043497356828,0.296043497356828,0.309936571773517,-10.1745435005566,0.993160489899793,28.7915540003181,1,-1500,-950,-1800,-2450,25167
1025,currentSpO2,1.68247908282765,0.211869379075243,0.566396443080251,0.180892717306186,-0.0446410816726645,0.0446410816726645,0.0442980420356022,-27.0723093815999,0.995508029893465,NaN,NaN,-1500,-600,-1600,-2100,25168
1025,beat30Raw,1.68403457853043,0.175590932696664,0.404330033814397,0.231010180109632,-0.200581903891721,0.200581903891721,0.204742907000078,-13.7758226952907,0.997534497156718,29.7619596770987,0.999932758120741,-1500,-1050,-1600,-2550,25168
1025,beat30Fixed,1.66042732173597,0.209857258377413,0.374580518289143,0.233359436178543,-0.206476189730121,0.206476189730121,0.211023401043827,-13.5133876352136,0.893943611564004,29.7619596770987,0.999932758120741,-1500,-1050,-1600,-2550,25168
1025,beat30Smoothed,1.65628153300842,0.216191645364301,0.372768674993105,0.240407204385278,-0.212357032058219,0.212357032058219,0.217313486243323,-13.2582664198101,0.893943611564004,29.7619596770987,0.999932758120741,-1500,-1050,-1600,-2550,25168
1026,currentSpO2,1.23177151467848,0.386492640444639,0.457350059165523,0.583031988873435,-0.0931791170532208,0.0931791170532208,0.0935862770620476,-20.5757565793322,0.999363968834473,NaN,NaN,-1500,-550,-1600,-2050,25167
1026,beat30Raw,1.23417382370038,0.326223654642942,0.390573143566077,0.609457579972184,-0.346233485538616,0.346233485538616,0.36906047568775,-8.65804925646759,0.999403507376625,29.0107368672207,1,-1500,-1000,-1600,-2500,25167
1026,beat30Fixed,1.21919181515729,0.35959113180019,0.350370334112322,0.606675938803894,-0.360871565109222,0.360871565109222,0.386945698693872,-8.24699953229647,0.873583330019485,29.0107368672207,1,-1500,-1000,-1600,-2500,25167
1026,beat30Smoothed,1.20623605781238,0.388732946157911,0.345832735103426,0.64144645340751,-0.390020125751956,0.390020125751956,0.423563687707963,-7.4616255843237,0.873583330019485,29.0107368672207,1,-1500,-1000,-1600,-2500,25167
1027,currentSpO2,1.46113880397387,0.299523197454577,1.30722357181304,0.285714285714286,-0.0744977220707188,0.0744977220707188,0.0746549166560295,-22.5388317008371,0.99106270074012,NaN,NaN,-1500,-4650,-5450,-6150,21576
1027,beat30Raw,1.7476047386962,0.268999220552673,0.960216124678539,0.285714285714286,-0.425323950288988,0.425323950288988,0.469949831826492,-6.55897002953356,0.991246857249278,28.8953347611509,1,-1500,-4900,-5450,-6400,21576
1027,beat30Fixed,1.72776859468264,0.477796222286763,0.638652979242637,0.285714285714286,-0.476342593849174,0.476342593849174,0.541754113105154,-5.32395565490803,0.689496228699134,28.8953347611509,1,-1500,-4900,-5450,-6400,21576
1027,beat30Smoothed,1.72464449580736,0.48610636479805,0.634974345513815,0.285714285714286,-0.484612003966235,0.484612003966235,0.554013737902182,-5.12958931838675,0.689496228699134,28.8953347611509,1,-1500,-4900,-5450,-6400,21576
1028,currentSpO2,1.05863746829682,0.431903240105948,0.600938782938494,0,-0.0860589777446903,0.0860589777446903,0.0863794416475328,-21.2717921507529,1,NaN,NaN,-1500,-150,-1400,-1650,10586
1028,beat30Raw,0.730949690846131,0.378679349163001,0.475673639448071,0,-0.387537337143824,0.387537337143824,0.420389056968728,-7.52697194992404,0.998959712502364,37.0400037828636,1,-1500,-600,-1400,-2100,10586
1028,beat30Fixed,0.727064004490243,0.381372844706054,0.424165620239432,0,-0.382452646683448,0.382452646683448,0.413920948146053,-7.66165187623602,0.956213353508606,37.0400037828636,1,-1500,-600,-1400,-2100,10586
1028,beat30Smoothed,0.71510708098346,0.414581183222975,0.417422337404201,0,-0.415344983708398,0.415344983708398,0.456591660054837,-6.80944050891929,0.956213353508606,37.0400037828636,1,-1500,-600,-1400,-2100,10586
